No,Human_Score,finetune_medical
1,1,2
2,1,2
3,1,2
4,1,2
5,1,3
6,2,4
7,2,2
8,2,3
9,2,2
10,2,3
11,2,2
12,2,3
13,2,4
14,2,3
15,2,3
16,2,3
17,2,3
18,2,4
19,2,4
20,2,3
21,2,3
22,2,4
23,3,4
24,3,3
25,3,4
26,3,4
27,3,3
28,3,5
29,3,6
30,3,5
31,3,4
32,3,3
33,3,5
34,3,4
35,3,4
36,3,3
37,3,6
38,3,4
39,3,5
40,4,4
41,4,6
42,4,4
43,4,4
44,4,4
45,4,3
46,4,4
47,4,5
48,4,5
49,4,4
50,4,3
51,4,4
52,4,4
53,4,4
54,4,4
55,4,5
56,4,5
57,5,5
58,5,5
59,5,5
60,5,6
61,5,4
62,5,4
63,5,5
64,5,4
65,5,5
66,5,4
67,5,6
68,5,6
69,5,5
70,5,5
71,5,5
72,5,4
73,5,5
74,6,5
75,6,4
76,6,5
77,6,4
78,6,6
79,6,4
80,6,4
81,6,6
82,6,6
83,6,5
84,6,5
85,6,5
86,6,5
87,6,5
88,6,5
89,7,5
90,7,6
91,7,5
92,7,5
93,7,6
94,7,5
95,7,7
96,7,5
97,7,7
98,8,6
99,8,6
100,8,6